recency,history_segment,history,mens,womens,zip_code,newbie,channel,segment,visit,conversion,spend,customer_id
8,5) $500 - $750,517.7,0,1,Rural,1,Phone,No E-Mail,0,0,0.0,8302
7,1) $0 - $100,29.99,1,0,Rural,0,Phone,Womens E-Mail,0,0,0.0,62382
2,5) $500 - $750,579.54,0,1,Urban,1,Web,Womens E-Mail,1,1,29.99,51369
2,1) $0 - $100,54.51,0,1,Rural,1,Web,No E-Mail,0,0,0.0,26988
9,2) $100 - $200,163.15,1,0,Urban,1,Phone,Mens E-Mail,0,0,0.0,38427
7,1) $0 - $100,29.99,1,0,Urban,0,Web,No E-Mail,0,0,0.0,467
10,1) $0 - $100,36.44,0,1,Urban,0,Web,Mens E-Mail,1,0,0.0,56467
6,1) $0 - $100,38.02,1,0,Surburban,1,Web,Womens E-Mail,0,0,0.0,45757
8,2) $100 - $200,187.83,0,1,Urban,0,Phone,Mens E-Mail,0,0,0.0,55822
2,1) $0 - $100,70.44,0,1,Surburban,0,Phone,Womens E-Mail,0,0,0.0,2208
8,2) $100 - $200,125.51,1,0,Surburban,0,Phone,No E-Mail,0,0,0.0,37817
5,3) $200 - $350,223.0,1,0,Surburban,0,Web,Womens E-Mail,0,0,0.0,9591
1,2) $100 - $200,131.51,1,0,Rural,0,Web,Womens E-Mail,0,0,0.0,4453
11,1) $0 - $100,63.49,0,1,Urban,1,Phone,No E-Mail,0,0,0.0,60524
11,2) $100 - $200,193.78,1,0,Surburban,1,Phone,Womens E-Mail,0,0,0.0,4562
7,3) $200 - $350,210.16,1,0,Rural,0,Web,No E-Mail,0,0,0.0,41853
1,4) $350 - $500,388.23,0,1,Surburban,0,Phone,Mens E-Mail,0,0,0.0,40114
8,1) $0 - $100,56.16,0,1,Surburban,1,Phone,Womens E-Mail,0,0,0.0,43089
1,5) $500 - $750,689.26,1,0,Surburban,1,Multichannel,Womens E-Mail,1,0,0.0,21075
5,1) $0 - $100,95.57,0,1,Rural,1,Web,Mens E-Mail,0,0,0.0,3132
1,5) $500 - $750,566.51,1,0,Urban,1,Web,Womens E-Mail,0,0,0.0,33261
10,1) $0 - $100,63.69,1,0,Rural,0,Web,Mens E-Mail,1,0,0.0,11450
11,2) $100 - $200,178.3,0,1,Surburban,0,Web,No E-Mail,0,0,0.0,26968
7,3) $200 - $350,324.67,0,1,Urban,0,Web,Womens E-Mail,0,0,0.0,1291
3,2) $100 - $200,128.37,0,1,Urban,0,Phone,Womens E-Mail,1,0,0.0,48056
1,4) $350 - $500,400.04,1,0,Rural,0,Multichannel,Mens E-Mail,1,0,0.0,49480
